id;vehicle_id;type;name;description;due_date;interval_months;interval_km;remind_days_before;remind_km_before;last_completed_date;last_completed_mileage;status;is_periodic_check;check_interval_days;last_check_date;external_link;notes;created_at;updated_at
faa8ac5d-6e9d-4457-81e9-23a1502b0c3e;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;regulatory;Multas;Verificar multas pendentes;;;;0;500;;;ok;true;45;2026-02-08;https://www.detran.sp.gov.br;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:58.640478+00
6dab34b8-322c-429e-982a-8cf348527fff;657c6720-8625-4913-b004-124c649e10b4;regulatory;CNH;Renovação da carteira de motorista;2031-12-19;;;60;500;;;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-01-27 01:51:11.229613+00
aa6e23e6-0ae1-40e8-b6b4-f22312881ad2;657c6720-8625-4913-b004-124c649e10b4;regulatory;Seguro;Seguro do veículo;2027-02-20;;;30;500;2026-02-20;;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-02-27 01:33:12.431754+00
b5872ed7-4203-45e3-a987-df058107e1d5;657c6720-8625-4913-b004-124c649e10b4;regulatory;Licenciamento;Renovação anual do CRLV;2026-06-30;;;20;500;;;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-01-27 01:53:38.497996+00
138f961d-b4a5-4474-b8e2-8ad939f55a50;657c6720-8625-4913-b004-124c649e10b4;regulatory;Multas;Verificar multas pendentes;;;;0;500;;;ok;true;60;2026-01-27;https://www.detran.sp.gov.br;;2026-01-27 01:45:22.949753+00;2026-01-27 03:59:05.313792+00
1ebebd64-3ee8-43f2-9703-4cb1d03652b4;657c6720-8625-4913-b004-124c649e10b4;maintenance;Bateria;Verificar condição da bateria;;36;;60;500;2025-08-01;95000;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-01-27 04:02:45.001943+00
d71f5a2b-41da-4e09-bf25-b114e4cccf47;657c6720-8625-4913-b004-124c649e10b4;maintenance;Pressão dos pneus;Verificar calibragem dos pneus;;1;;3;500;2026-03-22;103279;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-03-22 22:10:40.928518+00
dc1f603b-0d95-4ddc-9d1c-7864e182184e;657c6720-8625-4913-b004-124c649e10b4;maintenance;Óleo do motor;Troca de óleo do motor;;;1000;30;30;2026-04-04;103279;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-04-04 19:09:48.878804+00
71b03e42-9422-47fb-94ed-079dd2497fd8;657c6720-8625-4913-b004-124c649e10b4;maintenance;Água de resfriamento;Verificar nível do líquido de arrefecimento;;1;;7;500;2026-04-04;103279;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-04-04 19:09:54.518896+00
86bf99d7-cfec-49e3-9c97-20916582ea45;657c6720-8625-4913-b004-124c649e10b4;maintenance;Pastilhas de freio;Troca das pastilhas de freio;;;30000;30;30;2026-01-27;101000;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-01-27 04:06:35.378192+00
1cea74c4-b808-4b0d-8974-820b5facfd66;657c6720-8625-4913-b004-124c649e10b4;regulatory;IPVA;Imposto anual do veículo;2027-01-15;;;30;500;2026-01-28;;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-01-28 11:18:35.516122+00
bc1e023b-0029-4952-a051-f6701670b3cc;657c6720-8625-4913-b004-124c649e10b4;maintenance;Troca de pneus;Substituição dos pneus;;36;;60;3000;2024-01-20;;ok;false;;;;;2026-01-29 10:50:47.511903+00;2026-01-29 10:58:05.7381+00
f3f2195d-7421-491c-951e-13a810f8e62b;657c6720-8625-4913-b004-124c649e10b4;maintenance;Óleo da direção;Verificar fluido da direção hidráulica;;12;;30;500;2026-02-06;101245;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-02-06 11:44:16.094082+00
9039ee4b-16c1-4d9d-9d79-db91d5c0d560;657c6720-8625-4913-b004-124c649e10b4;maintenance;Fluido de freio;Troca do fluido de freio;;24;;30;500;2026-02-06;101245;ok;false;;;;;2026-01-27 01:45:22.949753+00;2026-02-06 11:44:23.778311+00
3facb65d-feee-46fb-b671-504c916150c2;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;regulatory;IPVA;Imposto anual do veículo;;;;30;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
cf3495a9-9598-4bf3-99cc-d7575ddad656;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;regulatory;Licenciamento;Renovação anual do CRLV;;;;30;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
cfb1a446-a6dd-4524-af83-721cd9638f89;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;regulatory;Seguro;Seguro do veículo;;;;30;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
4927e3d9-2e3d-4742-88de-6c917571a5a1;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;regulatory;CNH;Renovação da carteira de motorista;;;;60;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
15ba2d6d-2b6b-47e1-b032-d37a2a8befed;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;maintenance;Óleo do motor;Troca de óleo do motor;;;5000;30;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
ca36f85f-c6c1-4366-bf8f-13614db4e46d;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;maintenance;Água de resfriamento;Verificar nível do líquido de arrefecimento;;6;;7;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
96ce2274-6a61-4a98-83d5-48c9fa9a0b47;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;maintenance;Óleo da direção;Verificar fluido da direção hidráulica;;12;;30;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
5dd3df1e-154e-43bd-a5e4-bf0e15713101;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;maintenance;Fluido de freio;Troca do fluido de freio;;24;;30;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
4683632a-9e27-4f08-b580-c1ebddb0b99c;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;maintenance;Bateria;Verificar condição da bateria;;36;;60;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
03979b6f-eb16-4afd-b531-214e247630d0;5c06bd69-5f4c-48a9-a5b2-5d75872cc2ec;maintenance;Pressão dos pneus;Verificar calibragem dos pneus;;1;;3;500;;;ok;false;;;;;2026-02-08 22:07:10.412451+00;2026-02-08 22:07:10.412451+00
